Fold	Prediction	Truth
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.002770216556801762	0
1	0.0	0
1	2.9411764705882354e-05	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.01	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.002770216556801762	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.01	0
1	0.01	0
1	0.0	0
1	0.0	0
1	0.02	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.05	0
1	0.0	0
1	0.002770216556801762	0
1	0.0	0
1	0.00022527671586073964	0
1	0.0	0
1	0.01	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.02	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.26	0
1	0.0	0
1	0.0	0
1	0.002770216556801762	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0004822612024606598	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.02	0
1	0.02	0
1	0.002770216556801762	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.002770216556801762	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0007123225446922613	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.06036912980361179	0
1	0.0	0
1	2.9411764705882354e-05	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.00048585315345295007	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.020285446126311	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0011809134365192468	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.0	0
1	0.01	0
1	0.002770216556801762	0
1	0.0	0
1	0.002770216556801762	0
1	0.02	0
