Fold	Prediction	Truth	Proj&Col
1	0.0	0	606594sex
1	0.0	0	741488tissue
1	0.0	0	686428tissue
1	0.0	0	204596broker_name
1	0.0	0	204596insdc_last_update
1	0.0	0	204596insdc_status
1	0.0	0	242387sex
1	0.0	0	746540age
1	0.0	0	746540subject_id
1	0.01	0	488556cell_type
1	0.0	0	488556donor
1	0.0	0	488556infection
1	0.04	0	816447patient_id
1	0.02	0	816447race
1	0.0	0	816447source_name
1	0.0	0	317266cell_line
1	0.0	0	176410
1	0.0	0	506658cell_type
1	0.0	0	909770title
1	0.0	0	908757cell_line
1	0.0	0	908757cell_type
1	0.0	0	908757genotype
1	0.0	0	908757source_name
1	0.0	0	936195cell_line
1	0.0	0	496495cell_line
1	0.0	0	496495source_name
1	0.0	0	278040title
1	0.0	0	631615cell_line
1	0.0	0	631615passage
1	0.0	0	993594tissue
1	0.0	0	776847title
1	0.0	0	670241treatment
1	0.0	0	351887cell_type
1	0.0	0	512232passage
1	0.0	0	961769title
1	0.0	0	961769treatment
1	0.0	0	431312differentiation_time
1	0.0	0	431312disease
1	0.0	0	431312individual_identifier
1	0.0	0	431312title
1	0.0	0	904392cell_line
1	0.0	0	904392genotype
1	0.0	0	476140batch
1	0.0	0	800828title
1	0.0	0	905445time
1	0.0	0	230625description
1	0.0	0	422136cell_type
1	0.0	0	422136source_name
1	0.0	0	175527title
1	0.0	0	605790background
1	0.0	0	276128facs_population
1	0.0	0	276128source_name
1	0.0	0	350335cell_line
1	0.0	0	350335drug
1	0.0	0	350335source_name
1	0.0	0	350335treatment_duration
1	0.0	0	790758source_name
1	0.0	0	790758treatment
1	0.0	0	656549strain
1	0.0	0	656549title
1	0.0	0	899503source_name
1	0.0	0	899503title
1	0.0	0	750648source_name
1	0.0	0	783914cell_line
1	0.0	0	783914treatment
1	0.0	0	681319cell_line
1	0.0	0	907311age
1	0.0	0	817563sex
1	0.0	0	817563title
1	0.0	0	898968neo-adjuvant_chemotherapy
1	0.0	0	898968title
1	0.0	0	661047biological_replicate_number
1	0.0	0	661047mixing_day
1	0.0	0	661047mixing_percent_human
1	0.0	0	577553source_name
1	0.0	0	577553tissue
1	0.0	0	327287cell_line
1	0.0	0	739709
1	0.0	0	851072title
1	0.0	0	851072treatment
1	0.0	0	939719title
1	0.0	0	758835title
1	0.0	0	611524genotype
1	0.0	0	611524tissue
1	0.0	0	611524
1	0.0	0	844275treatment
1	0.0	0	515839disease
1	0.0	0	515839source_name
1	0.0	0	594338genotype
1	0.0	0	521712cell_type
1	0.0	0	374730cell_type
1	0.0	0	719824condition
1	0.0	0	719824title
1	0.0	0	666421age
1	0.0	0	666421diagnosis
1	0.0	0	666421source_name
1	0.0	0	664189sorting
1	0.0	0	664189source_name
1	0.0	0	517674cell_line
1	0.0	0	517674passage
1	0.0	0	880013title
1	0.0	0	804509patient
